testid,cc,server,dig_type
79014566-7e04-4109-8d25-719e6b684767,AO,,local
d892b66b-b8b6-419c-96e8-f200907857cb,CD,,local
484e18d7-96e1-48dc-b7b0-403b0b9ac56b,CI,,local
d46bc460-0a8f-4306-80db-aace7269c7ec,CM,,local
d04ed3e2-4c50-49c8-bab3-cb223824fd98,DZ,,local
e9b04f38-c43f-4be4-8e0c-311ea911bcca,EG,,local
f726e657-7f9e-4c0d-ae80-c56a0147182e,ET,,local
6d89e949-dabb-443c-87b3-484c01c90d57,GH,,local
198f6c38-ed2c-492f-afda-ec011b3ff5ef,GN,,local
1e32fcf7-41ab-49c2-a713-7c7c60e44f7e,GQ,,local
0c2226a4-1378-496a-83ab-641514019a4e,KE,,local
ac5aaf07-bf52-4b0e-a377-0123566d0dca,MA,,local
751d7fc2-1497-43da-a201-5edf09f02b18,NG,,local
0882cd1e-85ea-418c-9cd0-28f648bde9cb,SL,,local
3bba96c0-1342-4027-8603-935fdbe341b2,SN,,local
4d7fe8cb-692a-4e87-9f4a-f0a395c33abd,SO,,local
34849d96-ef26-4a3e-a5f3-beefb0c5d689,TG,,local
52653425-0e52-448a-9f8e-811cffdd3aeb,TN,,local
706b1874-ae69-4deb-8893-45f613311bcf,ZA,,local
fe91ba49-c9b4-49ca-addd-2814504e6bf1,ZW,,local
