ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|Server|QueryTime|Status
37645|Wireless80211|AO|154.66.104.151|129.122.226.88|ZAP-Angola|c413f443-0297-4666-9d6f-bc7c0c85ea82|/Date(1561119123683+0000)/||1|NoError
36907|Ethernet|AO|196.202.254.0|196.202.254.9|TVCabo Angola|3387de05-2a8d-47cb-b001-4204a5371efc|/Date(1561119127084+0000)/||136|NoError
37447|Ethernet|CD|169.239.156.170|169.239.156.98|Orange-rdc|1f3a2710-7e3b-49ef-88ce-b69cf8021780|/Date(1561119129352+0000)/||88|NoError
29571|Wireless80211|CI|154.68.5.0|154.68.5.52|Orange Cote d'Ivoire|60e149b0-7b44-4d49-a080-5f11dd8ea101|/Date(1561119129207+0000)/||256|NoError
29571|Wireless80211|CI|154.68.9.22|154.68.5.59|Orange Cote d'Ivoire|cf6b7c20-b7a0-4397-862c-1e14f9f278b4|/Date(1561119131599+0000)/||46|NoError
36947|Wireless80211|DZ|41.110.30.2|105.111.83.115|Algerie Telecom|32e01261-8150-44f9-9cc0-406f22ffbe73|/Date(1561119129381+0000)/||32|NoError
36947|Ethernet|DZ|41.110.30.2|197.200.124.165|Algerie Telecom|dfb13a42-3327-46bf-9aef-b62b4ca784c8|/Date(1561119129382+0000)/||16|NoError
36947|Wireless80211|DZ|41.110.30.2|105.98.179.140|Algerie Telecom|a2c04962-12a1-4537-8eb8-663d402654dc|/Date(1561119129388+0000)/||80|Refused
36947|Ethernet|DZ|41.110.32.2|197.200.86.76|Algerie Telecom|054efe3f-585b-4856-9977-4024ba427244|/Date(1561119129481+0000)/||18|NoError
36947|Wireless80211|DZ|41.110.32.2|41.102.72.127|Algerie Telecom|d3194901-b17f-4f88-8f6f-91bbfb33f156|/Date(1561119131854+0000)/||29|NoError
36947|Ethernet|DZ|41.110.31.2|105.98.26.114|Algerie Telecom|971dcc32-5540-4c0c-aa2d-69e5b6c20f16|/Date(1561119132501+0000)/||45|NoError
