ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
37645,Wireless80211,AO,154.66.104.151,129.122.226.88,ZAP-Angola,c413f443-0297-4666-9d6f-bc7c0c85ea82,/Date(1561112814961+0000)/,1.1.1.1,89,ServFail
37645,Wireless80211,AO,154.66.104.151,129.122.226.88,ZAP-Angola,c413f443-0297-4666-9d6f-bc7c0c85ea82,/Date(1561112816412+0000)/,8.8.8.8,67,NoError
37645,Wireless80211,AO,154.66.104.151,129.122.226.88,ZAP-Angola,c413f443-0297-4666-9d6f-bc7c0c85ea82,/Date(1561112817808+0000)/,9.9.9.9,4,Refused
37545,Ethernet,BI,41.79.224.0,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561112819237+0000)/,1.1.1.1,182,ServFail
37545,Ethernet,BI,41.79.224.0,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561112820924+0000)/,8.8.8.8,31,NoError
37545,Ethernet,BI,41.79.224.0,41.79.224.10,BBSS,e078462a-e8dc-4d49-9d4f-14d72fee451b,/Date(1561112822724+0000)/,9.9.9.9,3,NoError
37447,Ethernet,CD,169.239.158.0,169.239.158.121,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561112821694+0000)/,1.1.1.1,255,NoError
37447,Ethernet,CD,169.239.158.0,169.239.158.121,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561112823317+0000)/,8.8.8.8,60,NoError
37447,Ethernet,CD,169.239.158.0,169.239.158.121,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561112825002+0000)/,9.9.9.9,223,Refused
29571,Wireless80211,CI,74.125.73.77,154.68.5.148,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561112823938+0000)/,1.1.1.1,268,NoError
29571,Wireless80211,CI,74.125.73.77,154.68.5.148,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561112825685+0000)/,8.8.8.8,138,NoError
29571,Wireless80211,CI,74.125.73.77,154.68.5.148,Orange Cote d'Ivoire,60e149b0-7b44-4d49-a080-5f11dd8ea101,/Date(1561112827185+0000)/,9.9.9.9,85,NoError
36947,Ethernet,DZ,41.110.30.2,105.105.190.226,Algerie Telecom,80a89350-4b2a-4d37-939b-2e3844844d9b,/Date(1561112824509+0000)/,1.1.1.1,115,NoError
36947,Wireless80211,DZ,41.110.30.2,105.98.179.140,Algerie Telecom,a2c04962-12a1-4537-8eb8-663d402654dc,/Date(1561112824576+0000)/,1.1.1.1,114,NoError
36947,Wireless80211,DZ,41.110.30.2,105.103.254.45,Algerie Telecom,32e01261-8150-44f9-9cc0-406f22ffbe73,/Date(1561112824625+0000)/,1.1.1.1,120,NoError
36947,Ethernet,DZ,41.110.30.2,197.200.124.165,Algerie Telecom,dfb13a42-3327-46bf-9aef-b62b4ca784c8,/Date(1561112825135+0000)/,1.1.1.1,246,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.86.76,Algerie Telecom,054efe3f-585b-4856-9977-4024ba427244,/Date(1561112825213+0000)/,1.1.1.1,308,NoError
36947,Wireless80211,DZ,41.110.32.2,197.206.189.19,Algerie Telecom,c420634f-acd9-426f-a9f4-5982bcdab4fc,/Date(1561112825504+0000)/,1.1.1.1,304,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.4.67,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561112826403+0000)/,1.1.1.1,230,NoError
36947,Wireless80211,DZ,41.110.31.2,41.102.200.35,Algerie Telecom,90094f21-5fec-4966-a2f0-61ca9f3bd00b,/Date(1561112829226+0000)/,1.1.1.1,162,NoError
36947,Wireless80211,DZ,8.0.26.132,105.101.205.219,Algerie Telecom,f0dfb4f9-9fbe-4223-ab37-e81100a99f35,/Date(1561112833742+0000)/,1.1.1.1,206,NoError
36947,Wireless80211,DZ,41.110.31.2,41.102.200.35,Algerie Telecom,90094f21-5fec-4966-a2f0-61ca9f3bd00b,/Date(1561112825084+0000)/,8.8.8.8,171,NoError
36947,Ethernet,DZ,41.110.30.2,105.105.190.226,Algerie Telecom,80a89350-4b2a-4d37-939b-2e3844844d9b,/Date(1561112825256+0000)/,8.8.8.8,49,NoError
36947,Wireless80211,DZ,41.110.30.2,105.103.254.45,Algerie Telecom,32e01261-8150-44f9-9cc0-406f22ffbe73,/Date(1561112825323+0000)/,8.8.8.8,41,NoError
36947,Wireless80211,DZ,41.110.30.2,105.98.179.140,Algerie Telecom,a2c04962-12a1-4537-8eb8-663d402654dc,/Date(1561112825335+0000)/,8.8.8.8,47,NoError
36947,Ethernet,DZ,41.110.30.2,197.200.124.165,Algerie Telecom,dfb13a42-3327-46bf-9aef-b62b4ca784c8,/Date(1561112826060+0000)/,8.8.8.8,35,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.86.76,Algerie Telecom,054efe3f-585b-4856-9977-4024ba427244,/Date(1561112826463+0000)/,8.8.8.8,37,NoError
36947,Wireless80211,DZ,41.110.32.2,197.206.189.19,Algerie Telecom,c420634f-acd9-426f-a9f4-5982bcdab4fc,/Date(1561112826650+0000)/,8.8.8.8,47,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.4.67,Algerie Telecom,21e3a6c7-6e45-4657-9864-b246dec57856,/Date(1561112828204+0000)/,8.8.8.8,92,NoError
36947,Wireless80211,DZ,8.0.26.132,105.101.205.219,Algerie Telecom,f0dfb4f9-9fbe-4223-ab37-e81100a99f35,/Date(1561112829890+0000)/,8.8.8.8,40,NoError
36947,Ethernet,DZ,41.110.30.2,105.105.190.226,Algerie Telecom,80a89350-4b2a-4d37-939b-2e3844844d9b,/Date(1561112826175+0000)/,9.9.9.9,97,Refused
36947,Wireless80211,DZ,41.110.30.2,105.98.179.140,Algerie Telecom,a2c04962-12a1-4537-8eb8-663d402654dc,/Date(1561112826176+0000)/,9.9.9.9,83,Refused
36947,Wireless80211,DZ,41.110.30.2,105.103.254.45,Algerie Telecom,32e01261-8150-44f9-9cc0-406f22ffbe73,/Date(1561112826352+0000)/,9.9.9.9,85,Refused
36947,Wireless80211,DZ,41.110.31.2,41.102.200.35,Algerie Telecom,90094f21-5fec-4966-a2f0-61ca9f3bd00b,/Date(1561112827197+0000)/,9.9.9.9,201,Refused
36947,Ethernet,DZ,41.110.30.2,197.200.124.165,Algerie Telecom,dfb13a42-3327-46bf-9aef-b62b4ca784c8,/Date(1561112827296+0000)/,9.9.9.9,193,Refused
36947,Wireless80211,DZ,41.110.32.2,197.206.189.19,Algerie Telecom,c420634f-acd9-426f-a9f4-5982bcdab4fc,/Date(1561112827696+0000)/,9.9.9.9,195,NoError
36947,Ethernet,DZ,41.110.32.2,197.200.86.76,Algerie Telecom,054efe3f-585b-4856-9977-4024ba427244,/Date(1561112828063+0000)/,9.9.9.9,189,NoError
