ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
8452|Unknown|EG||196.218.127.141|TE Data|0ad62192-a48a-406b-9c07-d0e84862d561|/Date(1561037385189+0000)/|1.1.1.1|24|23|23|23
8452|adsl|EG||41.43.80.153|TE Data|cbe174ea-e115-4e83-b52f-602a77c90382|/Date(1561037385483+0000)/|1.1.1.1|25|25|25|25
36992|WIFI|EG|105.203.255.251|105.83.111.240|Etisalat Misr|08502e13-a0f7-4205-ac81-96870da75187|/Date(1561037386483+0000)/|1.1.1.1|74|50|60|61
8452|WIFI|EG|163.121.128.206|41.235.19.153|TE Data|3d304500-4408-4aa3-94df-85b02a2cfd52|/Date(1561037388980+0000)/|1.1.1.1|28|28|30|28
8452|WIFI|EG|156.200.40.42|197.61.136.102|TE Data|b129d587-14c4-468d-a36b-5cd391adc850|/Date(1561037390784+0000)/|1.1.1.1|30|42|30|34
8452|WIFI|EG|163.121.128.206|156.220.247.31|TE Data|99115235-5884-4ada-8204-c99505ec7904|/Date(1561037391583+0000)/|1.1.1.1|36|40|58|44
8452|WIFI|EG|163.121.128.206|197.47.100.103|TE Data|317a81c0-ca09-4d0f-bf7d-ceafb9e9b11d|/Date(1561037394183+0000)/|1.1.1.1|65|49|49|54
8452|WIFI|EG|163.121.128.206|156.222.132.X|TE Data|NONE|/Date(1561037399583+0000)/|1.1.1.1|26|32|622|226
8452|WIFI|EG|156.200.40.66|156.219.209.214|TE Data|a28a0d41-15c3-404b-ba69-548f390e3bc4|/Date(1561037399963+0000)/|1.1.1.1|54|32|40|42
24835|WIFI|EG|62.240.113.124|102.184.65.77|Vodafone Egypt|c8d57421-84d4-4f88-913d-ce9609172064|/Date(1561037386806+0000)/|8.8.8.8|65|64|62|63
24835|WIFI|EG|172.217.40.76|41.69.158.129|Vodafone Egypt|a13e6fd7-cdeb-40dc-bc4f-45174f90eb15|/Date(1561037387184+0000)/|8.8.8.8|74|76|72|74
