ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561313947076+0000)/,1.1.1.1,,1,10.37.75.2,10.37.75.2,20,20,20
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561313947076+0000)/,1.1.1.1,,2,10.37.107.137,10.37.107.137,30,24,24
8452,Unknown,EG,,196.218.127.141,TE Data,ROUTER,0ad62192-a48a-406b-9c07-d0e84862d561,/Date(1561313947076+0000)/,1.1.1.1,,3,10.38.27.37,10.38.27.37,48,20,21
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,1,,172.16.5.111,103,83,103
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,2,,172.19.230.197,82,72,86
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,3,,172.19.230.253,34,28,46
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,4,,172.19.1.13,60,33,47
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,5,,81.52.186.97,101,156,331
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,6,hundredgige0-3-0-12.martr1.marseille.opentransit.net,193.251.131.50,62,61,79
24863,WIFI,EG,45.240.0.2,45.242.84.32,Link Egypt,ANDROID,22f77c74-1a5c-45ed-9ebf-4df03cd07757,/Date(1561313975347+0000)/,1.1.1.1,one.one.one.one,7,et-8-0-1-0.pastr3.paris.opentransit.net,193.251.131.116,110,106,110
