testid,cc,server,dig_type
92fdf7d9-c1ba-4e9e-aabb-ab7b90a702fd,AO,,local
55c989dc-3e30-481e-89a2-48cda0b626fa,AO,1.1.1.1,remote
edeff5fa-5c72-4860-b9e8-411f13d09cbd,AO,8.8.8.8,remote
ee9a8794-65b0-45db-851a-f456e1aec48a,AO,9.9.9.9,remote
686cfde6-7483-470e-ac8b-337933713620,BI,,local
014ebf91-75cd-47e6-9d45-13defdc731c2,BI,1.1.1.1,remote
313ef450-d8eb-4736-a14c-669a073f9345,BI,8.8.8.8,remote
59997a8d-fc43-4abe-9a5b-b12f297681ca,BI,9.9.9.9,remote
a5a78bd3-c6e2-42a6-a735-779ddce9839e,CD,,local
09fcf1c8-8564-44d3-8a42-7a1a0af5b480,CD,1.1.1.1,remote
9b4c6dab-203b-450a-8f9e-234c29c9801c,CD,8.8.8.8,remote
acb616b8-77c4-4125-b07a-7c4d96a2f036,CD,9.9.9.9,remote
f1761035-b4f3-44c5-a541-0d5dbbdc614c,CI,,local
7b96928f-6f2b-4bdf-80a4-22d49f33651a,CI,1.1.1.1,remote
6890be48-81cc-457b-9dd7-9288ccff4cf8,CI,8.8.8.8,remote
42ee5154-ca02-492e-ba8b-0e4395162048,CI,9.9.9.9,remote
d5ef6084-93b7-43bb-b791-be9dda58524d,DZ,,local
9c1ae570-5393-484a-b954-dc18ca8e24f8,DZ,1.1.1.1,remote
bfca2ae7-8310-4fb0-866b-ee9e8c40ccf8,DZ,8.8.8.8,remote
18717990-9557-4b34-bf41-5503183a129b,DZ,9.9.9.9,remote
4fe6597e-9df1-4f40-9f82-f5be22a93a7a,EG,,local
d490f2b4-cd71-4319-a9d3-b5bfe1f89ae8,EG,1.1.1.1,remote
d4338b76-9c33-40f5-9177-92c46967791b,EG,8.8.8.8,remote
cf38c946-0ff5-4667-a06f-7235d93c2371,EG,9.9.9.9,remote
3f1e45e8-56d5-48cd-a44f-54770c2ebaa8,GM,,local
57619f73-f684-4205-bc19-e9f08cfe95d7,GM,1.1.1.1,remote
2056bb98-66cc-4464-8dfe-d2bced0704f6,GM,8.8.8.8,remote
788e58fb-2386-4090-9fdc-6b047d01d5df,GM,9.9.9.9,remote
785473b9-bd99-40d3-ad82-e15427be9637,GQ,,local
3a18989e-2b88-4a3b-96d1-db791710b26e,GQ,1.1.1.1,remote
5be3de5c-a82e-4dbf-97f0-dc45b41043b7,GQ,8.8.8.8,remote
6d725a6b-c6ee-4215-bf21-0c9ebbb1ff2b,GQ,9.9.9.9,remote
aca7f230-3df4-440b-ad32-1304c1b36592,KE,,local
88da3341-1e03-4da9-803c-7c52d81ed036,KE,1.1.1.1,remote
40641873-f812-45cb-ba7d-4f278cc0d97d,KE,8.8.8.8,remote
2f5e8707-b710-4cfc-8847-5d9eea734bdc,KE,9.9.9.9,remote
cd719458-5a7e-4c01-96c1-8457164c46ff,KM,,local
30c08cbb-72be-4461-bf4a-d46ff3dd321e,KM,1.1.1.1,remote
1a65d4aa-5769-4bd0-add8-780cbf870f6d,KM,8.8.8.8,remote
39aee1e1-8862-40d4-aeba-e7c5f10e1331,KM,9.9.9.9,remote
