ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status,dig_type
36907,Ethernet,AO,196.202.252.62,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561377662357+0000)/,,80,Refused,local
36907,Ethernet,AO,196.202.252.62,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561377698505+0000)/,1.1.1.1,4037,NoError,remote
36907,Ethernet,AO,196.202.252.62,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561377673689+0000)/,8.8.8.8,4000,NoError,remote
36907,Ethernet,AO,196.202.252.62,196.202.254.9,TVCabo Angola,3387de05-2a8d-47cb-b001-4204a5371efc,/Date(1561377676209+0000)/,9.9.9.9,88,Refused,remote
37447,Ethernet,CD,169.239.158.0,169.239.158.125,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561377669880+0000)/,,53,NoError,local
37447,Ethernet,CD,169.239.158.0,169.239.158.125,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561377671613+0000)/,1.1.1.1,211,NoError,remote
37447,Ethernet,CD,169.239.158.0,169.239.158.125,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561377672853+0000)/,8.8.8.8,60,NoError,remote
37447,Ethernet,CD,169.239.158.0,169.239.158.125,Orange-rdc,7fa8fc4c-1264-4ad7-95d9-7dd48a93c331,/Date(1561377674501+0000)/,9.9.9.9,221,Refused,remote
36947,Wireless80211,DZ,41.110.32.2,41.102.177.210,Algerie Telecom,d3194901-b17f-4f88-8f6f-91bbfb33f156,/Date(1561377674497+0000)/,,27,NoError,local
36947,Ethernet,DZ,41.110.32.2,105.98.93.115,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561377674900+0000)/,,37,NoError,local
36947,Wireless80211,DZ,192.221.154.129,41.106.169.55,Algerie Telecom,2b02f082-ec1c-472d-a059-b9f66f5231c9,/Date(1561377675339+0000)/,,117,FormErr,local
36947,Wireless80211,DZ,41.110.32.2,41.109.174.7,Algerie Telecom,c257ee5c-9625-4b29-94da-c8c3540d684f,/Date(1561377675566+0000)/,,36,NoError,local
36947,Ethernet,DZ,83.231.151.145,41.98.69.23,Algerie Telecom,fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4,/Date(1561377691915+0000)/,,9029,NoError,local
36947,Wireless80211,DZ,41.110.32.2,41.102.177.210,Algerie Telecom,d3194901-b17f-4f88-8f6f-91bbfb33f156,/Date(1561377675562+0000)/,1.1.1.1,63,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.93.115,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561377675811+0000)/,1.1.1.1,54,NoError,remote
36947,Wireless80211,DZ,192.221.154.129,41.106.169.55,Algerie Telecom,2b02f082-ec1c-472d-a059-b9f66f5231c9,/Date(1561377676800+0000)/,1.1.1.1,246,NoError,remote
36947,Wireless80211,DZ,41.110.32.2,41.109.174.7,Algerie Telecom,c257ee5c-9625-4b29-94da-c8c3540d684f,/Date(1561377677111+0000)/,1.1.1.1,80,NoError,remote
36947,Ethernet,DZ,83.231.151.145,41.98.69.23,Algerie Telecom,fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4,/Date(1561377679626+0000)/,1.1.1.1,98,NoError,remote
36947,Wireless80211,DZ,41.110.32.2,41.102.177.210,Algerie Telecom,d3194901-b17f-4f88-8f6f-91bbfb33f156,/Date(1561377676669+0000)/,8.8.8.8,67,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.93.115,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561377676755+0000)/,8.8.8.8,39,NoError,remote
36947,Wireless80211,DZ,192.221.154.129,41.106.169.55,Algerie Telecom,2b02f082-ec1c-472d-a059-b9f66f5231c9,/Date(1561377677932+0000)/,8.8.8.8,91,NoError,remote
36947,Wireless80211,DZ,41.110.32.2,41.109.174.7,Algerie Telecom,c257ee5c-9625-4b29-94da-c8c3540d684f,/Date(1561377678090+0000)/,8.8.8.8,97,NoError,remote
36947,Ethernet,DZ,83.231.151.145,41.98.69.23,Algerie Telecom,fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4,/Date(1561377680228+0000)/,8.8.8.8,74,NoError,remote
36947,Ethernet,DZ,41.110.32.2,105.98.93.115,Algerie Telecom,971dcc32-5540-4c0c-aa2d-69e5b6c20f16,/Date(1561377677451+0000)/,9.9.9.9,82,NoError,remote
36947,Wireless80211,DZ,41.110.32.2,41.102.177.210,Algerie Telecom,d3194901-b17f-4f88-8f6f-91bbfb33f156,/Date(1561377677452+0000)/,9.9.9.9,95,Refused,remote
36947,Wireless80211,DZ,192.221.154.129,41.106.169.55,Algerie Telecom,2b02f082-ec1c-472d-a059-b9f66f5231c9,/Date(1561377679627+0000)/,9.9.9.9,117,Refused,remote
36947,Wireless80211,DZ,41.110.32.2,41.109.174.7,Algerie Telecom,c257ee5c-9625-4b29-94da-c8c3540d684f,/Date(1561377679630+0000)/,9.9.9.9,97,NoError,remote
36947,Ethernet,DZ,83.231.151.145,41.98.69.23,Algerie Telecom,fe0f007b-31e3-4dfc-afaf-faab7ad3bcd4,/Date(1561377680876+0000)/,9.9.9.9,342,Refused,remote
37552,Wireless80211,GM,,197.231.205.10,Gamtel,821a6fd2-19bb-4491-95ad-d42f944e3904,/Date(1561377681057+0000)/,,467,NoError,local
37552,Wireless80211,GM,,197.231.205.10,Gamtel,821a6fd2-19bb-4491-95ad-d42f944e3904,/Date(1561377686849+0000)/,1.1.1.1,123,NoError,remote
37552,Wireless80211,GM,,197.231.205.10,Gamtel,821a6fd2-19bb-4491-95ad-d42f944e3904,/Date(1561377692535+0000)/,8.8.8.8,151,NoError,remote
37552,Wireless80211,GM,,197.231.205.10,Gamtel,821a6fd2-19bb-4491-95ad-d42f944e3904,/Date(1561377693124+0000)/,9.9.9.9,175,NoError,remote
33771,Wireless80211,KE,41.203.211.3,41.80.27.208,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561377693532+0000)/,,30,NoError,local
33771,Wireless80211,KE,41.203.211.3,41.80.27.208,Safaricom,be2fc4c8-97e8-4671-be8f-b7ac6e9e7492,/Date(1561377694564+0000)/,1.1.1.1,4131,NoError,remote
