testid,cc,server,ping_type
66d31cf5-6a53-4723-8c64-7bb3b88feb96,EG,1.1.1.1,icmp
10d422a3-074b-4536-99ae-b68c18d7d617,EG,8.8.8.8,icmp
e04234d6-7f5d-4978-a928-3b556f22306c,EG,9.9.9.9,icmp
9d890306-4c24-498b-b8bc-8703820ab6d0,BJ,1.1.1.1,icmp
37414b5c-510f-49a4-96d8-21455d790983,BJ,8.8.8.8,icmp
65bdac1f-36b1-4568-8864-e17c8ae21e6c,BJ,9.9.9.9,icmp
0c20f3f1-2268-44b6-80a3-b7262193c0c7,CI,1.1.1.1,icmp
53d0e0d4-aee1-4e63-a605-6a947bae0699,CI,8.8.8.8,icmp
15407a41-3fbe-4d9b-9781-5d3c45a0772b,CI,9.9.9.9,icmp
39de730c-9f25-43bc-9eaa-a7ef180b6b9f,CV,1.1.1.1,icmp
b089a6b2-cfc0-46fa-8fa0-e16836845ed4,CV,8.8.8.8,icmp
709bd8c6-f745-4c6a-af14-33030ab7f83e,CV,9.9.9.9,icmp
9522bc88-98ff-4ee6-bf33-3fe496b1995c,GH,1.1.1.1,icmp
242d8928-009e-4412-9f48-7f92ac89b496,GH,8.8.8.8,icmp
251be9a0-6b31-479d-9235-6760c864ec72,GH,9.9.9.9,icmp
423b1eba-9769-493a-af12-88149cf682ee,GM,1.1.1.1,icmp
55dcfc30-7236-4b1a-8ced-74aa732488cd,GM,8.8.8.8,icmp
707c9b74-0108-40e0-a703-43bbc69a2897,GM,9.9.9.9,icmp
a06e3e7a-eedb-46d7-b8b2-8f6e4e7e4b68,GN,1.1.1.1,icmp
7029ea1a-bbc9-450f-ae09-70bfac93e7ac,GN,8.8.8.8,icmp
a2dc7507-bc12-4671-bcdd-44d1e46b9d26,GN,9.9.9.9,icmp
405fa5a4-c46e-4539-9bf5-4b4da3449d13,GW,1.1.1.1,icmp
03faf721-269f-4f80-9c66-77ddeac80a8d,GW,8.8.8.8,icmp
60cf220b-09d5-4637-b335-8b35e908b771,GW,9.9.9.9,icmp
12624cec-4c48-4799-9791-7eefbea489ed,AO,1.1.1.1,icmp
89c3fe12-c4ad-4f27-9fa4-890b98b91f3f,AO,8.8.8.8,icmp
317976dc-0356-4069-aeab-c6a302cc74f0,AO,9.9.9.9,icmp
9a32df14-7c62-4eda-95f4-4b479a2091c1,CF,1.1.1.1,icmp
4b2e36ae-c6c8-44d9-a708-69a0ff544d6b,CF,8.8.8.8,icmp
013a7ac0-e26a-46a4-8828-0ebf48682470,CF,9.9.9.9,icmp
81ef674b-4a52-4e74-b389-5abcb5cc9a27,CG,1.1.1.1,icmp
5d001ecf-0def-4ef1-80dd-e0b68b1468df,CG,8.8.8.8,icmp
6eae7f4e-1474-4910-8df1-fe9721fd1b15,CG,9.9.9.9,icmp
08218fba-6eca-4be3-834e-2ea68a3a89cc,CM,1.1.1.1,icmp
c12d043d-6d00-4e57-9d7b-95d7b8fcbb1b,CM,8.8.8.8,icmp
6f9500de-ff3b-4106-a2d6-afc492f59eed,CM,9.9.9.9,icmp
daec2149-c105-4284-9631-2102aba54575,GA,1.1.1.1,icmp
db1ba430-7f05-4438-8b2a-5fedfd2976fd,GA,8.8.8.8,icmp
7c74d8b5-c95a-49b9-b9b9-05f32bd3fa7d,GA,9.9.9.9,icmp
306e19c8-1010-49ea-a6e2-bbb4dce60fe5,GQ,1.1.1.1,icmp
6fed449c-5dba-4955-94d8-771e3a3b2007,GQ,8.8.8.8,icmp
24242b52-6e6d-488a-82a6-370fff276ee3,GQ,9.9.9.9,icmp
e81dacbf-2128-44e7-9f22-1b5d94f9db71,TD,1.1.1.1,icmp
74435757-c383-4cdb-9f3e-e385e207345c,TD,8.8.8.8,icmp
62d4f329-22b4-44c2-8cbe-efd58d023227,TD,9.9.9.9,icmp
4e2df88f-fc05-4ce4-9b34-10e7ef7b88ff,BI,1.1.1.1,icmp
8b286bb5-c524-46da-8404-e9c18370f754,BI,8.8.8.8,icmp
2089975f-874c-4dcc-9654-17a924a3656c,BI,9.9.9.9,icmp
4e21eeab-e1d3-4fcc-b04e-d5f58eb9aede,DJ,1.1.1.1,icmp
e456ba81-e45f-4751-aa44-269ba2b23d5c,DJ,8.8.8.8,icmp
522d5e7a-c0d5-4572-856a-d4af12216e24,DJ,9.9.9.9,icmp
e8f0a979-802c-4f5f-b7a7-9c2ba17893bf,ER,1.1.1.1,icmp
f183125f-ab76-466a-b624-f8cdf874cf10,ER,8.8.8.8,icmp
dd12b7a6-fd2a-4d71-8651-0f075b7f7474,ER,9.9.9.9,icmp
f3a14337-f4f7-4372-8602-eb6c9d85e7f6,ET,1.1.1.1,icmp
6e50cad9-c91c-40b2-95cf-ae8303934877,ET,8.8.8.8,icmp
