ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
8452|adsl|EG||78.129.233.100|TE Data|cbe174ea-e115-4e83-b52f-602a77c90382|/Date(1561163760245+0000)/|1.1.1.1|25|25|25|25
8452|Wireless80211|EG|156.200.40.42|197.55.114.252|TE Data|a4ab3531-b4d4-443d-89e1-14e0a2b2e455|/Date(1561163760859+0000)/|1.1.1.1|24|24|26|24
8452|WIFI|EG|163.121.128.214|156.208.238.26|TE Data|20d918c2-c5da-469b-ad1a-22cd27e48b18|/Date(1561163761159+0000)/|1.1.1.1|38|45|52|45
24863|WIFI|EG||45.243.243.171|Link Egypt|f258173b-9e02-4d8c-aa36-9e307040f032|/Date(1561163761229+0000)/|1.1.1.1|109|96|119|108
24863|WIFI|EG|41.128.84.2|197.163.21.181|Link Egypt|e13483e6-237e-460c-9d35-3d5b11c46482|/Date(1561163763924+0000)/|1.1.1.1|12|23|18|17
24863|Unknown|EG||41.128.147.99|Link Egypt|4cdbdd32-4719-4bbf-8853-1bcd44977c16|/Date(1561163765109+0000)/|1.1.1.1|53|53|53|53
8452|WIFI|EG|163.121.128.206|156.204.47.126|TE Data|ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf|/Date(1561163765801+0000)/|1.1.1.1|1260|1169|574|1001
8452|WIFI|EG|163.121.128.206|197.47.100.103|TE Data|317a81c0-ca09-4d0f-bf7d-ceafb9e9b11d|/Date(1561163766159+0000)/|1.1.1.1|42|50|61|51
8452|WIFI|EG|156.200.40.66|41.36.174.225|TE Data|958a3f4c-fade-4436-8e15-5b034cccc0f0|/Date(1561163767359+0000)/|1.1.1.1|36|40|42|39
24835|WIFI|EG|62.240.113.124|102.186.171.56|Vodafone Egypt|b57b4cc7-1c6b-4a04-b943-5ce10697c2e4|/Date(1561163761914+0000)/|8.8.8.8|71|69|73|71
8452|WIFI|EG|156.200.40.42|197.54.93.101|TE Data|2bbd2438-a154-41d0-8dc4-6035bcbb24ad|/Date(1561163762769+0000)/|8.8.8.8|80|74|67|73
24863|WIFI|EG|41.128.84.2|197.163.21.181|Link Egypt|e13483e6-237e-460c-9d35-3d5b11c46482|/Date(1561163768352+0000)/|8.8.8.8|8|18|18|14
8452|WIFI|EG|156.200.40.42|41.37.90.40|TE Data|3b7a1f4c-554f-4a98-832e-5e48a45c3b51|/Date(1561163768449+0000)/|8.8.8.8|51|50|50|50
8452|Wireless80211|EG|156.200.40.42|197.55.114.252|TE Data|a4ab3531-b4d4-443d-89e1-14e0a2b2e455|/Date(1561163771487+0000)/|8.8.8.8|66|65|65|65
24863|Unknown|EG||41.128.147.99|Link Egypt|4cdbdd32-4719-4bbf-8853-1bcd44977c16|/Date(1561163771975+0000)/|8.8.8.8|5|6|6|5
8452|WIFI|EG|163.121.128.206|197.47.11.201|TE Data|97843132-90d3-4039-8beb-a896efd092a8|/Date(1561163772047+0000)/|8.8.8.8|60|119|63|80
8452|Unknown|EG||196.218.127.141|TE Data|0ad62192-a48a-406b-9c07-d0e84862d561|/Date(1561163772103+0000)/|8.8.8.8|54|54|53|53
8452|WIFI|EG|163.121.128.206|156.222.205.183|TE Data|b857d230-ba59-4d80-856a-2ba19346188f|/Date(1561163774659+0000)/|8.8.8.8|103|114|240|152
24835|WIFI|EG|62.240.113.124|102.184.83.204|Vodafone Egypt|aa0a8c05-5ed7-4166-84e2-3af6377bbf8c|/Date(1561163775259+0000)/|8.8.8.8|69|74|82|75
8452|WIFI|EG|156.200.40.42|41.37.90.40|TE Data|3b7a1f4c-554f-4a98-832e-5e48a45c3b51|/Date(1561163765333+0000)/|9.9.9.9|76|76|82|78
8452|WIFI|EG|156.200.40.66|156.219.187.238|TE Data|a28a0d41-15c3-404b-ba69-548f390e3bc4|/Date(1561163765860+0000)/|9.9.9.9|98|90|91|93
8452|Unknown|EG||196.218.127.141|TE Data|0ad62192-a48a-406b-9c07-d0e84862d561|/Date(1561163766593+0000)/|9.9.9.9|82|82|82|82
36992|WIFI|EG|62.140.79.242|154.238.65.234|Etisalat Misr|b8f73e64-6d33-40ba-bda1-81b82382f8c9|/Date(1561163767559+0000)/|9.9.9.9|73|91|89|84
8452|WIFI|EG|163.121.128.206|197.47.11.201|TE Data|97843132-90d3-4039-8beb-a896efd092a8|/Date(1561163772054+0000)/|9.9.9.9|103|216|102|140
8452|WIFI|EG|172.253.14.2|41.47.34.19|TE Data|c95a5d89-25c5-4257-a355-d7b08c04d860|/Date(1561163776623+0000)/|9.9.9.9|94|181|228|167
36992|WIFI|EG|62.140.79.238|154.238.18.143|Etisalat Misr|8ce26433-7e3f-4aa1-9ba7-9111ee5838b9|/Date(1561163777373+0000)/|9.9.9.9|88|126|1275|439
24835|WIFI|EG|62.240.113.124|102.186.171.56|Vodafone Egypt|b57b4cc7-1c6b-4a04-b943-5ce10697c2e4|/Date(1561163777460+0000)/|9.9.9.9|29|32|32|31
29571|Wireless80211|CI|154.68.9.21|154.68.5.112|Orange Cote d'Ivoire|cf6b7c20-b7a0-4397-862c-1e14f9f278b4|/Date(1561163765904+0000)/|1.1.1.1|93|118|105|105
29571|Wireless80211|CI|213.136.116.50|160.154.136.199|Orange Cote d'Ivoire|bda903ad-8c86-4854-ad2d-f5431db92fbb|/Date(1561163769757+0000)/|1.1.1.1|228|286|333|282
29571|Wireless80211|CI|154.68.9.21|154.68.5.112|Orange Cote d'Ivoire|cf6b7c20-b7a0-4397-862c-1e14f9f278b4|/Date(1561163769611+0000)/|8.8.8.8|136|134|138|136
29571|Wireless80211|CI|213.136.116.50|160.154.136.199|Orange Cote d'Ivoire|bda903ad-8c86-4854-ad2d-f5431db92fbb|/Date(1561163776459+0000)/|8.8.8.8|316|158|206|226
29571|Wireless80211|CI|154.68.9.21|154.68.5.112|Orange Cote d'Ivoire|cf6b7c20-b7a0-4397-862c-1e14f9f278b4|/Date(1561163773428+0000)/|9.9.9.9|33|36|49|39
29571|Wireless80211|CI|213.136.116.50|160.154.136.199|Orange Cote d'Ivoire|bda903ad-8c86-4854-ad2d-f5431db92fbb|/Date(1561163782822+0000)/|9.9.9.9|28|212|29|89
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163775461+0000)/|1.1.1.1|99|100|100|99
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163778802+0000)/|8.8.8.8|111|111|111|111
29614|Wireless80211|GH|197.251.184.0|41.210.14.115|Vodafone Ghana|ffe47ba1-4672-4ad9-84b0-430788c863d0|/Date(1561163781869+0000)/|9.9.9.9|6|5|5|5
30992|Wireless80211|CM|212.72.53.209|129.0.79.245|MTN Cameroon|1ebc4dd3-da8a-4d6e-ab66-c49518532876|/Date(1561163788009+0000)/|1.1.1.1|200|167|167|178
