ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561485237100+0000)/,1.1.1.1,,1,10.45.10.23,10.45.10.23,6,6,6
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561485237100+0000)/,1.1.1.1,,3,10.37.93.42,10.37.93.42,10,9,9
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561485237100+0000)/,1.1.1.1,,5,10.37.85.102,10.37.85.102,10,10,9
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561485237100+0000)/,1.1.1.1,,6,host-213.158.191.230.tedata.net,213.158.191.230,9,10,9
8452,fiber,EG,,156.222.62.72,TE Data,ROUTER,11fac6b1-c1c6-4223-bcdb-0af3561c5e72,/Date(1561485237100+0000)/,1.1.1.1,,7,one.one.one.one,1.1.1.1,9,9,9
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,1,host-41.34.48.1.tedata.net,41.34.48.1,13,29,28
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,2,,10.36.22.9,29,31,28
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,3,,10.36.22.10,30,15,14
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,4,,10.36.19.173,20,19,23
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,5,,10.38.24.153,18,17,18
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,6,host-213.158.191.230.tedata.net,213.158.191.230,18,19,18
8452,WIFI,EG,41.34.232.0,41.34.232.176,TE Data,ANDROID,3b7a1f4c-554f-4a98-832e-5e48a45c3b51,/Date(1561485269020+0000)/,1.1.1.1,one.one.one.one,7,one.one.one.one,1.1.1.1,34,17,18
37069,WIFI,EG,197.163.50.2,105.34.244.216,MOBINIL,ANDROID,0783ecb9-bac6-4597-87b7-b06df7ef3781,/Date(1561485279999+0000)/,1.1.1.1,one.one.one.one,1,,10.154.199.4,173,42,37
37069,WIFI,EG,197.163.50.2,105.34.244.216,MOBINIL,ANDROID,0783ecb9-bac6-4597-87b7-b06df7ef3781,/Date(1561485279999+0000)/,1.1.1.1,one.one.one.one,11,,81.52.188.247,185,110,106
