ASN,ConnectionType,CountryCode,DNSResolver,srcIPAddress,Network,Platform,ProbeID,TestDateTime,dstIPAddress,HostName,hop_id,hop_name,hop_ip,rtt1,rtt2,rtt3
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136140+0000)/,62.240.113.124,62.240.113.124,1,,197.133.96.3,18,20,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136140+0000)/,62.240.113.124,62.240.113.124,2,,172.31.139.1,20,22,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136140+0000)/,62.240.113.124,62.240.113.124,3,,62.240.113.124,16,20,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136628+0000)/,62.240.113.124,62.240.113.124,1,,197.133.96.3,22,20,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136628+0000)/,62.240.113.124,62.240.113.124,2,,172.31.139.1,27,18,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613136628+0000)/,62.240.113.124,62.240.113.124,3,,62.240.113.124,22,19,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613138288+0000)/,62.240.113.124,62.240.113.124,1,,197.133.96.3,20,30,20
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613138288+0000)/,62.240.113.124,62.240.113.124,2,,172.31.139.1,23,20,30
24835,WIFI,EG,62.240.113.124,197.133.49.137,Vodafone Egypt,ANDROID,aa0a8c05-5ed7-4166-84e2-3af6377bbf8c,/Date(1561613138288+0000)/,62.240.113.124,62.240.113.124,3,,62.240.113.124,21,20,20
8452,WIFI,EG,163.121.128.206,156.205.238.151,TE Data,ANDROID,ccb1d7e8-ae24-4c78-87aa-31df3b29f2bf,/Date(1561613185389+0000)/,163.121.128.206,163.121.128.206,1,,41.236.117.129,33,41,40
